#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,10.0,2.0000,0.15,-0.43
2,11.0,2.0000,0.15,-0.40
3,12.1,2.0000,0.14,-0.46
4,13.3,2.0000,0.14,-0.44
5,14.7,2.0000,0.14,-0.40
6,16.2,2.0000,0.13,-0.44
7,17.8,2.0000,0.12,-0.46
8,19.6,2.0000,0.11,-0.40
9,21.5,2.0000,0.12,-0.45
10,23.7,2.0000,0.10,-0.40
11,26.1,2.0000,0.12,-0.40
12,28.7,2.0000,0.11,-0.45
13,31.6,2.0000,0.11,-0.41
14,34.8,2.0000,0.11,-0.34
15,38.3,2.0000,0.11,-0.33
16,42.2,2.0000,0.10,-0.33
17,46.4,2.0000,0.10,-0.34
18,51.1,2.0000,0.12,-0.34
19,56.2,2.0000,0.12,-0.35
20,61.9,2.0000,0.12,-0.34
21,68.1,2.0000,0.13,-0.41
22,75.0,2.0000,0.14,-0.46
23,82.5,2.0000,0.13,-0.48
24,90.9,2.0000,0.15,-0.57
25,100.0,2.0000,0.13,-0.63
26,110.1,2.0000,0.15,-0.75
27,121.2,2.0000,0.14,-0.80
28,133.4,2.0000,0.14,-0.92
29,146.8,2.0000,0.13,-1.02
30,161.6,2.0000,0.14,-1.14
31,177.8,2.0000,0.14,-1.28
32,195.7,2.0000,0.14,-1.43
33,215.4,2.0000,0.14,-1.55
34,237.1,2.0000,0.14,-1.76
35,261.0,2.0000,0.14,-1.93
36,287.3,2.0000,0.14,-2.12
37,316.2,2.0000,0.13,-2.34
38,348.1,2.0000,0.14,-2.57
39,383.1,2.0000,0.14,-2.86
40,421.7,2.0000,0.14,-3.15
41,464.2,2.0000,0.15,-3.49
42,510.9,2.0000,0.14,-3.84
43,562.3,2.0000,0.14,-4.24
44,619.0,2.0000,0.14,-4.64
45,681.3,2.0000,0.14,-5.15
46,749.9,2.0000,0.14,-5.68
47,825.4,2.0000,0.14,-6.23
48,908.5,2.0000,0.14,-6.86
49,1000.0,2.0000,0.14,-7.52
50,1100.7,2.0000,0.14,-8.31
51,1211.5,2.0000,0.14,-9.11
52,1333.5,2.0000,0.13,-10.07
53,1467.8,2.0000,0.13,-11.10
54,1615.6,2.0000,0.13,-12.14
55,1778.3,2.0000,0.13,-13.35
56,1957.3,2.0000,0.14,-14.73
57,2154.4,2.0000,0.13,-16.20
58,2371.4,2.0000,0.13,-17.82
59,2610.2,2.0000,0.13,-19.64
60,2873.0,2.0000,0.13,-21.59
61,3162.3,2.0000,0.13,-23.73
62,3480.7,2.0000,0.14,-26.11
63,3831.2,2.0000,0.14,-28.75
64,4217.0,2.0000,0.14,-31.61
65,4641.6,2.0000,0.15,-34.82
66,5109.0,2.0000,0.15,-38.35
67,5623.4,2.0000,0.16,-42.22
68,6189.7,2.0000,0.18,-46.49
69,6812.9,2.0000,0.20,-51.28
70,7498.9,2.0000,0.21,-56.49
71,8254.0,2.0000,0.23,-62.24
72,9085.2,2.0000,0.26,-68.65
73,10000.0,2.0000,0.29,-75.77
74,11006.9,2.0000,0.33,-83.72
75,12115.3,2.0000,0.36,-92.50
76,13335.2,2.0000,0.43,-102.30
77,14678.0,2.0000,0.49,-113.38
78,16156.0,2.0000,0.57,-125.85
79,17782.8,2.0000,0.65,-139.97
80,19573.4,2.0000,0.73,-156.10
81,21544.3,2.0000,0.80,185.45
82,23713.7,2.0000,0.89,164.13
83,26101.6,2.0000,1.04,138.94
84,28729.8,2.0000,1.12,106.51
85,31622.8,2.0000,0.29,59.70
86,34807.0,2.0000,-2.88,4.53
87,38311.9,2.0000,-9.48,-34.42
88,42169.7,2.0000,-16.27,-59.40
89,46415.9,2.0000,-22.62,-77.58
90,51089.7,2.0000,-28.69,-91.67
91,56234.1,2.0000,-34.41,-103.73
92,61896.6,2.0000,-39.87,-114.94
93,68129.2,2.0000,-46.24,-120.48
94,74989.4,2.0000,-50.61,-133.26
95,82540.4,2.0000,-55.86,-142.27
96,90851.8,2.0000,-59.92,-148.53
97,100000.0,2.0000,-64.42,-156.15
98,110069.4,2.0000,-69.75,-135.74
99,121152.8,2.0000,-72.97,-144.19
100,133352.1,2.0000,-78.29,-138.90
101,146779.9,2.0000,-77.28,-162.24
102,161559.8,2.0000,-80.10,-121.82
103,177827.9,2.0000,-71.50,-116.63
104,195734.2,2.0000,-67.79,-26.27
105,215443.5,2.0000,-56.53,114.17
106,237137.4,2.0000,-57.14,178.21
107,261015.7,2.0000,-48.82,92.70
108,287298.5,2.0000,-47.86,153.98
109,316227.8,2.0000,-54.30,24.52
110,348070.1,2.0000,-53.65,118.28
111,383118.7,2.0000,-57.13,-73.46
112,421696.5,2.0000,-54.10,-84.40
113,464158.9,2.0000,-58.80,-130.14
114,510897.0,2.0000,-62.32,183.75
115,562341.3,2.0000,-58.32,-123.95
116,618965.8,2.0000,-57.14,-120.81
117,681292.1,2.0000,-55.44,-101.80
118,749894.2,2.0000,-63.59,81.55
119,825404.2,2.0000,-49.40,130.90
120,908517.6,2.0000,-53.06,-102.95
121,1000000.0,2.0000,-52.81,-130.30
